Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Ref1,Ref2,Label,Stage
844.46875,76,4154.743652,3071.923096,3680.0,6601.922852,1847.564087,3051.666748,1237.820557,2622.307617,1718.846191,5651.282227,2736.410156,7392.563965,4727.94873,458.2051086,8274.87207,3086.666748,fleece,articulators
844.4765625,76,678.4615479,8356.794922,2102.179443,3802.564209,1587.94873,436.6666565,7550.897461,6773.589844,834.3589478,663.9743652,3253.846191,4640.641113,4036.281982,7574.230957,8277.564453,474.2307739,fleece,articulators
844.484375,76,11.66665745,5286.025879,4340.256348,6532.563965,3624.358887,7143.461426,4878.461426,7548.589844,6397.05127,1231.538452,3390.512939,2115.769287,6497.820313,3088.589844,6859.615234,4059.358887,fleece,articulators
844.4921875,76,453.2051086,6646.794922,2663.589844,541.4102783,3053.461426,1520.384644,6128.974121,3221.153809,2305.897461,5643.333496,7696.153809,4516.282227,6538.846191,727.3076782,4146.410156,6789.230957,fleece,articulators
844.5,76,4123.589844,2242.94873,1274.487183,5744.871582,7385.897461,6754.871582,5495.256348,4359.358887,2836.410156,6181.153809,2986.153809,5211.666504,4703.205078,1781.153809,2429.871826,927.9487305,fleece,articulators
844.5078125,76,4036.281982,2426.794922,987.4359131,5206.410156,5780.128418,3428.589844,2181.538574,7148.589844,5063.205078,3657.564209,6917.179688,5574.102539,1758.205078,6144.743652,4806.922852,665.2564087,fleece,articulators
844.515625,76,7877.436035,7552.436035,8033.205078,7851.538574,3485.256348,1497.94873,418.8461609,6697.436035,5753.077148,1805.256348,5475.769043,5293.461426,4094.358887,3150.384521,6497.692383,4451.666504,fleece,articulators
844.5234375,76,8318.717773,5846.794922,6150.0,4812.05127,5518.461426,5038.461426,2118.718018,5259.615234,4091.025635,7191.922852,3685.512939,8122.692383,3711.410156,3873.974365,8040.128418,3857.05127,fleece,articulators
844.53125,76,7910.897461,166.4102478,2285.256348,3292.05127,6948.974121,5505.256348,6028.077148,5747.692383,6246.922852,6315.256348,3053.205078,3226.153809,8218.589844,224.2307587,8172.820313,1807.05127,fleece,articulators
844.5390625,76,7384.102539,3796.538574,7746.794922,6246.025879,8322.948242,1054.102539,1299.102539,525.1281738,6300.0,7334.871582,4755.512695,7625.769043,67.30768585,5256.538574,6492.563965,384.3589783,fleece,articulators
