Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,TP9,TP10,Event Id,Event Date,Event Duration
833.8515625000,75,8217.6923828125,7630.1284179688,5422.8203125000,6966.9228515625,3832.8205566406,4873.8461914063,896.2820434570,4027.3076171875,6994.2309570313,807.4359130859,1048.5897216797,2201.6667480469,4063.7180175781,5815.2563476563,3493.2050781250,5804.4873046875,,,
833.8593750000,75,2994.7436523438,3719.4870605469,3160.3845214844,270.0000000000,2890.8974609375,3539.1025390625,2573.0769042969,1061.1538085938,4745.7690429688,1486.7949218750,807.5640869141,8278.4619140625,3864.1025390625,4008.0769042969,3601.4101562500,7770.5126953125,,,
833.8671875000,75,7112.6923828125,675.1281738281,5760.6411132813,4291.7949218750,2694.2307128906,6044.7436523438,1008.8461303711,449.3589782715,5762.5639648438,2868.0769042969,4399.8715820313,4063.3332519531,2556.5385742188,7381.0258789063,2216.7949218750,8085.7690429688,,,
833.8750000000,75,6793.5898437500,2067.8205566406,869.8717651367,2611.2819824219,7728.2050781250,1406.4102783203,4580.0000000000,1287.9487304688,1576.1538085938,3781.6667480469,5445.8974609375,7398.8461914063,3322.1794433594,4525.0000000000,8031.7949218750,5550.2563476563,,,
833.8828125000,75,6547.5639648438,6848.8461914063,5362.8203125000,2771.9230957031,6428.9741210938,3419.4870605469,5134.3588867188,3141.0256347656,3390.7692871094,1457.0512695313,1520.8974609375,399.2307739258,3105.2563476563,213.2051239014,6862.0512695313,4512.4360351563,,,
833.8906250000,75,4596.5385742188,4367.0512695313,512.4359130859,1111.2821044922,6038.7177734375,3532.4357910156,1008.5897216797,5787.4360351563,319.8717956543,7004.8715820313,7885.2563476563,3409.7436523438,4094.4870605469,4265.6411132813,6044.1025390625,153.5897369385,,,
833.8984375000,75,6737.3076171875,5120.6411132813,6787.9487304688,3252.8205566406,5127.5639648438,1257.3077392578,1392.8205566406,795.0000000000,2028.7178955078,7094.1025390625,5028.5898437500,755.1281738281,7293.4614257813,1148.2050781250,4862.0512695313,6521.7949218750,,,
833.9062500000,75,6710.6411132813,6144.4873046875,1288.4615478516,3857.4357910156,6539.1025390625,1073.8461914063,3585.0000000000,4055.8974609375,3985.8974609375,2949.7436523438,7210.2563476563,779.2307739258,1846.0256347656,7122.1796875000,710.5128173828,6700.0000000000,,,
833.9140625000,75,7745.3847656250,616.4102783203,4642.9487304688,6683.5898437500,7459.7436523438,3334.2307128906,582.5640869141,5043.7177734375,5858.9741210938,7686.5385742188,5666.0258789063,3725.2563476563,2278.7180175781,5190.5126953125,3633.8461914063,4102.0512695313,,,
833.9218750000,75,3646.1538085938,408.2051086426,5998.0771484375,663.5897216797,1039.1025390625,5463.2050781250,667.9487304688,3747.0512695313,2445.3845214844,4643.8461914063,2839.4870605469,4927.4360351563,3782.4357910156,6389.3588867188,1459.6153564453,5793.3334960938,,,
833.9296875000,75,7215.1284179688,1985.8974609375,2686.5385742188,2006.9230957031,3396.2819824219,1936.6666259766,3824.4870605469,1923.9743652344,8358.2050781250,1873.0769042969,3471.1538085938,88.3333282471,5862.5639648438,5509.4873046875,8076.2822265625,6997.6923828125,,,
833.9375000000,75,3446.1538085938,6657.3076171875,7612.6923828125,4625.1284179688,5705.1284179688,3093.3332519531,2607.9487304688,13.0769138336,7938.2050781250,4172.4360351563,3191.4101562500,1044.2307128906,4050.0000000000,1194.7435302734,702.9487304688,3603.7180175781,,,
833.9453125000,75,2691.7949218750,3822.0512695313,2308.4614257813,3139.2307128906,3171.5385742188,4815.7690429688,49.2307586670,2809.8718261719,362.4358825684,6842.5639648438,3654.7436523438,2783.8461914063,7252.0512695313,1420.3846435547,2227.4357910156,5575.8974609375,,,
833.9531250000,75,4084.1025390625,7610.3847656250,7467.0512695313,3715.3845214844,6872.4360351563,391.0256347656,4316.7949218750,5860.2563476563,6246.6665039063,4523.5898437500,2123.3332519531,4935.3847656250,261.5384521484,7127.0512695313,1899.1025390625,6079.1025390625,,,
833.9609375000,75,529.3589477539,4511.9228515625,3798.2050781250,1490.3846435547,7742.9487304688,4176.5385742188,3061.4101562500,6736.1538085938,3282.3076171875,2373.4614257813,6814.2309570313,3206.1538085938,1807.0512695313,377.8204956055,5039.4873046875,3548.8461914063,,,
833.9687500000,75,4904.1025390625,1211.2821044922,7878.7177734375,6363.5898437500,3782.8205566406,5132.6923828125,6518.4614257813,1698.9743652344,4815.5126953125,7634.7436523438,3660.0000000000,1847.3077392578,7291.0258789063,667.8204956055,7659.1025390625,553.0769042969,,,
833.9765625000,75,3498.4614257813,3122.5642089844,7415.5126953125,7550.0000000000,3302.8205566406,8280.6406250000,5076.4101562500,3430.7692871094,4565.2563476563,2182.6923828125,527.0512695313,2963.3332519531,2908.3332519531,8110.1284179688,1909.4871826172,407.9486999512,,,
